subject_group	total
Climate, Environment, Natural Resources & Disasters/Water resources development	74
Anthropology, Ethnology, Exploration & Travel/Aboriginal Australians - Legends	70
Anthropology, Ethnology, Exploration & Travel/Family - Canada	39
People/Demy, Jacques, 1931-1990	1
Agriculture, Business, Commerce & Industry/Farm management - Australia	43
Music & Performing Arts/Schubert, Franz, 1797-1828	4
Agriculture, Business, Commerce & Industry/Bookkeeping	4
History/Congo - History	7
Communications, Infrastructure, & Transport/Submarine boats	16
Food, Health, Lifestyle, Medicine, Psychology & Safety/Aged men - Health and hygiene	4
Education, Instruction, Teaching & Schools/Counseling	30
Literature/Cooper-Clarke, John	1
History/Society, Primitive	19
Economics, Philosophy, Politics, Religion & Sociology/Class consciousness	64
People/Rosenberg, Stuart, 1927-	2
Family, Gender Identity, Relationships & Sexuality/Parenting	92
Crafts & Visual Arts/Architecture, Italian	5
Advertising, Film, Journalism, Mass Media & TV/New wave films - France	1
Mathematics, Science & Technology/Computers - Accounting	4
Food, Health, Lifestyle, Medicine, Psychology & Safety/Risk-taking (psychology) in adolescence	21
Food, Health, Lifestyle, Medicine, Psychology & Safety/Florey, Howard, Baron Florey, 1898-1968	1
Music & Performing Arts/Rachmaninoff, Sergei, 1873-1943	1
Advertising, Film, Journalism, Mass Media & TV/Australian Centre for the Moving Image	3
Food, Health, Lifestyle, Medicine, Psychology & Safety/Skinheads	20
Hobbies, Recreation & Sport/De Castella, Robert	3
People/Kosky, Barrie	1
Animals & Wildlife/Animal culture	8
People/Sainte-Colombe, M'sieur de, 1640-1690	1
Anthropology, Ethnology, Exploration & Travel/Easter Island	3
Armed Forces, Military, War & Weapons/World War, 1939-1945 -- Great Britain -- Propaganda	3
People/Macarthur, Elizabeth, 1769-1850	1
Music & Performing Arts/Franklin, Aretha	3
Agriculture, Business, Commerce & Industry/Employees, Dismissal of	6
Crafts & Visual Arts/Renaissance - Italy	18
Agriculture, Business, Commerce & Industry/Agriculture - Middle East	9
Animals & Wildlife/Horse breeders	12
Food, Health, Lifestyle, Medicine, Psychology & Safety/Skin	12
Agriculture, Business, Commerce & Industry/Perfume	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Autonomy (Psychology) in old age	10
People/Lillee, Dennis, 1949-	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Medical ethics	25
Food, Health, Lifestyle, Medicine, Psychology & Safety/Teenage marriage	7
People/Opperman, Hubert Ferdinand, Sir	1
Climate, Environment, Natural Resources & Disasters/Glacial landforms	7
Agriculture, Business, Commerce & Industry/Tractors - Safety measures	6
Music & Performing Arts/Entertainers	60
Armed Forces, Military, War & Weapons/Arms race	12
History/Howard, John Winston 1939-	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Sugar in the body	2
Food, Health, Lifestyle, Medicine, Psychology & Safety/Negotiation	19
