subject_group	total
Advertising, Film, Journalism, Mass Media & TV/Journalism - Political aspects	20
Music & Performing Arts/Kindergarten - Music	5
Crafts & Visual Arts/Dufy, Raoul, 1877-1953	2
Literature/English fiction	12
Food, Health, Lifestyle, Medicine, Psychology & Safety/Cardiac resuscitation	17
People/Roycroft, Bill	2
Literature/Wheatley, Nadia, 1949-	2
Food, Health, Lifestyle, Medicine, Psychology & Safety/Menstruation	18
People/Parker, Charlie, 1920-1955	6
Food, Health, Lifestyle, Medicine, Psychology & Safety/Yoga	15
Communications, Infrastructure, & Transport/Waste disposal	24
Mathematics, Science & Technology/Calender	2
Armed Forces, Military, War & Weapons/Yugoslav War, 1991-1995 - Yugoslavia Serbia	4
Mathematics, Science & Technology/Probabilities	10
Food, Health, Lifestyle, Medicine, Psychology & Safety/Cookery, Italian	4
Animals & Wildlife/Mammals, Fossil	3
Advertising, Film, Journalism, Mass Media & TV/Metro-Goldwyn-Mayer	2
People/Filler, Deb	1
Climate, Environment, Natural Resources & Disasters/Ecological research	28
Communications, Infrastructure, & Transport/Ford Motor Company - History	8
Anthropology, Ethnology, Exploration & Travel/Women - Canada	29
Anthropology, Ethnology, Exploration & Travel/Bondi (N.S.W.)	8
Places/Yugoslavia	11
Anthropology, Ethnology, Exploration & Travel/Scandinavia	14
Aboriginal Australia/Aboriginal Australian athletes	5
Advertising, Film, Journalism, Mass Media & TV/Television in education	14
People/Bandura, Albert, 1925-	1
Education, Instruction, Teaching & Schools/Consumer education	38
Economics, Philosophy, Politics, Religion & Sociology/Peace movements	30
Education, Instruction, Teaching & Schools/Educational innovations	20
People/George VI, King of Great Britain, 1895-1952	12
Economics, Philosophy, Politics, Religion & Sociology/Great Britain - Politics and government	49
People/Philby, Kim, 1912-1988	2
Crime, Espionage, Justice, Police & Prisons/Organized crime	9
History/Hoover, J. Edgar (John Edgar), 1895-1972	4
Anthropology, Ethnology, Exploration & Travel/Jewish children	15
Food, Health, Lifestyle, Medicine, Psychology & Safety/Crisis intervention (Psychiatry)	4
Agriculture, Business, Commerce & Industry/Glass - Workers	3
Music & Performing Arts/Folk music - Great Britain	7
Agriculture, Business, Commerce & Industry/Businessmen	9
Advertising, Film, Journalism, Mass Media & TV/Fonda, Henry, 1905-1982	1
Literature/Autobiographies	8
Literature/Robinson, Roland	1
Agriculture, Business, Commerce & Industry/Models, Fashion	24
Anthropology, Ethnology, Exploration & Travel/Hong Kong	30
Food, Health, Lifestyle, Medicine, Psychology & Safety/Drugs - Physiological effect	54
Food, Health, Lifestyle, Medicine, Psychology & Safety/Clothing - Fires and prevention	6
Education, Instruction, Teaching & Schools/Art - Study and teaching	273
Animals & Wildlife/Ostriches	2
Food, Health, Lifestyle, Medicine, Psychology & Safety/Microsurgery	4
Armed Forces, Military, War & Weapons/World War, 1939-1945 - United States	40
People/Malle, Louis, 1932-1995	1
Economics, Philosophy, Politics, Religion & Sociology/Housing, Co-operative	4
Communications, Infrastructure, & Transport/High-rise apartment buildings	6
Crime, Espionage, Justice, Police & Prisons/Imprisonment	18
History/Taiwan - History - 1895-1945	3
Armed Forces, Military, War & Weapons/World War, 1939-1945 - Atrocities - Drama	9
Crime, Espionage, Justice, Police & Prisons/Prisons - Canada	5
People/Washington, George, 1732-1799	3
Anthropology, Ethnology, Exploration & Travel/Burley Griffin, Lake (A.C.T.)	2
Economics, Philosophy, Politics, Religion & Sociology/Middle classes	20
Agriculture, Business, Commerce & Industry/Taxicab drivers	13
Armed Forces, Military, War & Weapons/Veterans - Australia	34
Crafts & Visual Arts/Reid, Bill, 1920-	1
Animals & Wildlife/Animals - Food	15
Economics, Philosophy, Politics, Religion & Sociology/Cultural relativism	210
Anthropology, Ethnology, Exploration & Travel/Asia - Social life and customs	20
Music & Performing Arts/Children as musicians	12
Advertising, Film, Journalism, Mass Media & TV/Radio programs - Australia - History	10
Literature/Mansfield, Katherine	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Cognitive psychology	22
Music & Performing Arts/Folk dancing, Russian	4
Economics, Philosophy, Politics, Religion & Sociology/Consumer behavior	36
Communications, Infrastructure, & Transport/Emergency management	37
Anthropology, Ethnology, Exploration & Travel/Pilgrims and pilgrimages	21
Anthropology, Ethnology, Exploration & Travel/Barcelona (Spain)	12
Hobbies, Recreation & Sport/Sports - United States	77
Economics, Philosophy, Politics, Religion & Sociology/Diokno, Josae	1
Anthropology, Ethnology, Exploration & Travel/Australia	54
People/Haeflinger, Paul	1
Anthropology, Ethnology, Exploration & Travel/Burke and Wills Expedition, (1860-1861)	6
Anthropology, Ethnology, Exploration & Travel/Cuba	11
Agriculture, Business, Commerce & Industry/Animal life cycles	30
History/Commonwealth of Nations	56
People/Mao, Tse-tung, 1893-1976	17
Mathematics, Science & Technology/Human evolution	43
History/Holt, Harold, 1908-1967	2
Mathematics, Science & Technology/Microbiology	30
Economics, Philosophy, Politics, Religion & Sociology/Social structure - Great Britain	22
Animals & Wildlife/Silkworms	5
People/Armani, Giorgio	1
People/Limon, Jose	1
Animals & Wildlife/Sheep - Diseases	18
Places/Heidelberg (Vic.)	1
Animals & Wildlife/Eye - Anatomy	9
History/Hungary - History - Revolution, 1956	12
History/Australia - History - 1976-1990	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Youth clubs	8
Animals & Wildlife/Animal behavior	242
Family, Gender Identity, Relationships & Sexuality/Child abuse - Prevention - Juvenile films	3
Family, Gender Identity, Relationships & Sexuality/Sisters	7
History/France - History - 18th century	10
People/Kington, Miles	2
Crime, Espionage, Justice, Police & Prisons/Prison discipline	11
Mathematics, Science & Technology/Kinetic energy	14
People/Cowboys	35
People/Rowling, J. K.	1
Economics, Philosophy, Politics, Religion & Sociology/Warsaw Treaty Organization	3
Economics, Philosophy, Politics, Religion & Sociology/International trade	46
Music & Performing Arts/Ballet companies - Australia	12
Music & Performing Arts/Sound recordings	3
Places/Pacific Area	28
Hobbies, Recreation & Sport/Video games	27
Agriculture, Business, Commerce & Industry/Expo '70 (Osaka, Japan)	6
Climate, Environment, Natural Resources & Disasters/Radioactive wastes	10
Food, Health, Lifestyle, Medicine, Psychology & Safety/Cognition in children	7
People/Stalin, Joseph, 1879-1953	23
Places/Guatemala	12
Crafts & Visual Arts/Artists	156
Anthropology, Ethnology, Exploration & Travel/North Africans	4
Crime, Espionage, Justice, Police & Prisons/Gun control - United States	3
Hobbies, Recreation & Sport/Taylor, Dennis, 1949-	1
Economics, Philosophy, Politics, Religion & Sociology/Neighbourhood	8
Economics, Philosophy, Politics, Religion & Sociology/Illegal aliens	15
Climate, Environment, Natural Resources & Disasters/Land use	65
Food, Health, Lifestyle, Medicine, Psychology & Safety/Diseases - Causes and theories of causation	44
History/Tiberius, Emperor of Rome, 42 B.C.-37 A.D.	1
Anthropology, Ethnology, Exploration & Travel/Bruny Island (Tas.)	1
People/Mitchell, Arthur	1
Crafts & Visual Arts/Underwater photography	40
Education, Instruction, Teaching & Schools/Occupational training	114
Music & Performing Arts/String quartets	6
Economics, Philosophy, Politics, Religion & Sociology/Rationalism - Economic aspects	7
Crime, Espionage, Justice, Police & Prisons/Capone, Al, 1899-1947	1
Agriculture, Business, Commerce & Industry/Farm mechanization	19
History/Victoria - History - 19th century	9
People/Catherine II, Empress of Russia, 1729-1796	3
People/Stanislavsky, Konstantin, 1863-1938	1
Anthropology, Ethnology, Exploration & Travel/Cooma (N.S.W.)	2
Family, Gender Identity, Relationships & Sexuality/Children - Death	20
Food, Health, Lifestyle, Medicine, Psychology & Safety/Cheese	5
Economics, Philosophy, Politics, Religion & Sociology/Social exchange	6
Literature/Writing	100
Advertising, Film, Journalism, Mass Media & TV/Motion picture industry - Poland	1
Places/Albury (N.S.W.)	7
History/Turkey - History	18
Food, Health, Lifestyle, Medicine, Psychology & Safety/Public health - Developing countries	25
Climate, Environment, Natural Resources & Disasters/Tsunamis	5
Crafts & Visual Arts/Mackintosh, Charles Rennie, 1868-1928	2
Climate, Environment, Natural Resources & Disasters/Kauri	3
Animals & Wildlife/Cicada	3
Anthropology, Ethnology, Exploration & Travel/Women, Arab	7
History/Cambodia - History - 1975-	4
Climate, Environment, Natural Resources & Disasters/Lake Pedder (Tas.)	3
Economics, Philosophy, Politics, Religion & Sociology/Soccer - Social aspects	13
Places/Marseille (France)	6
Economics, Philosophy, Politics, Religion & Sociology/Reality	32
Armed Forces, Military, War & Weapons/Bullwinkel, Vivian	2
Places/Coorong, The (S. Aust.)	4
Hobbies, Recreation & Sport/Surf lifesaving - Australia	20
Crafts & Visual Arts/Photography - Processing	10
Economics, Philosophy, Politics, Religion & Sociology/Native title (Australia)	14
Mathematics, Science & Technology/Sound recordings	3
Music & Performing Arts/Copland, Aaron, 1900-	2
Mathematics, Science & Technology/Algae	9
Economics, Philosophy, Politics, Religion & Sociology/Italy - Social conditions	21
Education, Instruction, Teaching & Schools/Research	128
Places/Fitzroy (Vic.)	2
Hobbies, Recreation & Sport/Frisbee (Registered trademark)	1
Animals & Wildlife/Giant panda	11
Music & Performing Arts/Flamenco	10
Economics, Philosophy, Politics, Religion & Sociology/Ambulance service - Australia	6
Economics, Philosophy, Politics, Religion & Sociology/India - Economic conditions	11
People/Franklin, Benjamin, 1706-1790	2
People/Kono, Shuson	1
Mathematics, Science & Technology/Astrophysics	5
Animals & Wildlife/Zoo keepers	9
People/Biko, Steve, 1946-1977	2
Music & Performing Arts/Redding, Otis, d. 1967	3
Mathematics, Science & Technology/Microphotography	35
Food, Health, Lifestyle, Medicine, Psychology & Safety/Viral genetics	3
Anthropology, Ethnology, Exploration & Travel/France - Social life and customs	268
Advertising, Film, Journalism, Mass Media & TV/Newspapers	55
History/Japan - History - 20th century	10
Music & Performing Arts/Playwrights	18
Climate, Environment, Natural Resources & Disasters/Waterways	32
Armed Forces, Military, War & Weapons/Schindler, Oskar, 1908-1974	2
Economics, Philosophy, Politics, Religion & Sociology/Soviet Union - Politics and government	30
History/Ptolemy, 2nd cent.	6
Crime, Espionage, Justice, Police & Prisons/Prisoners' families	7
Economics, Philosophy, Politics, Religion & Sociology/Propaganda, Russian	4
People/Vonnegut, Kurt	2
Climate, Environment, Natural Resources & Disasters/Forests and forestry - Canada	23
Food, Health, Lifestyle, Medicine, Psychology & Safety/Cookery, European	4
Education, Instruction, Teaching & Schools/Education - Primary - Victoria - Curricula	12
Armed Forces, Military, War & Weapons/World War, 1939-1945 - Psychological aspects	46
Economics, Philosophy, Politics, Religion & Sociology/Faith	16
Animals & Wildlife/Freshwater fauna	6
Economics, Philosophy, Politics, Religion & Sociology/Melbourne (Vic.) - Social conditions	11
People/Davies, Sonja, 1923-	1
History/Black death	5
People/Rewi Alley	1
People/Kerouac, Jack, 1922-1969	4
Food, Health, Lifestyle, Medicine, Psychology & Safety/Generative organs - Male	3
Economics, Philosophy, Politics, Religion & Sociology/Catholics	4
Food, Health, Lifestyle, Medicine, Psychology & Safety/Nightmares	13
Hobbies, Recreation & Sport/Amusements - Australia - History	6
Communications, Infrastructure, & Transport/North West Cape (W.A.)	3
Agriculture, Business, Commerce & Industry/Industrial sites	9
Mathematics, Science & Technology/Jupiter (Planet)	14
Anthropology, Ethnology, Exploration & Travel/Tasmania	57
Agriculture, Business, Commerce & Industry/Success in business	27
Anthropology, Ethnology, Exploration & Travel/Queensland	38
Mathematics, Science & Technology/Bridges	8
People/Steffans, Lincoln, 1866-1936	2
People/Elliot, Jane	3
Advertising, Film, Journalism, Mass Media & TV/Costume design - Motion pictures	13
Music & Performing Arts/Music - Indonesia	5
Communications, Infrastructure, & Transport/Electric utilities	8
Communications, Infrastructure, & Transport/Public works - Canada	9
People/Essex, Robert Devereux, Earl of, 1566-1601	1
Crafts & Visual Arts/Judd, Donald, 1928-1994	1
Literature/Astley, Thea, 1925-	1
People/Norman, Greg 1945-	2
Crafts & Visual Arts/Ghiberti, Lorenzo, 1378-1455	2
Anthropology, Ethnology, Exploration & Travel/Carnarvon (W.A.)	1
Anthropology, Ethnology, Exploration & Travel/Tombs	6
Hobbies, Recreation & Sport/Roller-skating	7
Crime, Espionage, Justice, Police & Prisons/Prisons - Australia	20
Music & Performing Arts/Johnson, Lindsay Kwesi	2
People/Murrow, Edward R.	1
History/Greek vases	4
Anthropology, Ethnology, Exploration & Travel/Catalonia (Spain)	3
Economics, Philosophy, Politics, Religion & Sociology/Old age homes - Victoria	3
Communications, Infrastructure, & Transport/Airships	3
Advertising, Film, Journalism, Mass Media & TV/Sea in motion pictures	48
People/Bardot, Brigitte	1
Climate, Environment, Natural Resources & Disasters/Rifkin, Jeremy	1
Music & Performing Arts/Violin music	24
Agriculture, Business, Commerce & Industry/Soap	4
Communications, Infrastructure, & Transport/Automobiles - Performance	25
Anthropology, Ethnology, Exploration & Travel/Language and culture	84
Economics, Philosophy, Politics, Religion & Sociology/Biko, Steve, 1946-1977	2
People/Riveng, Nicolas	1
Economics, Philosophy, Politics, Religion & Sociology/Social role	26
People/Joyce, James, 1882-1941	3
Places/Port Pirie (S. Aust.)	4
Crime, Espionage, Justice, Police & Prisons/White collar crimes	5
People/Wagner, Richard, 1813-1883	7
Literature/English literature	67
Food, Health, Lifestyle, Medicine, Psychology & Safety/Medicine, Preventive	25
Music & Performing Arts/Nederlands Dans Theater	2
Climate, Environment, Natural Resources & Disasters/Environmentally induced diseases	9
Hobbies, Recreation & Sport/Sports - Australia	102
Crafts & Visual Arts/Drawing	42
Crafts & Visual Arts/Commercial art	10
Education, Instruction, Teaching & Schools/Language arts (Primary)	18
People/Rush, Bobby	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Oral communication	62
Economics, Philosophy, Politics, Religion & Sociology/Local government - Canada	4
People/Kandinsky, Wassily, 1866-1944	7
Anthropology, Ethnology, Exploration & Travel/Ice-breaking vessels	8
Education, Instruction, Teaching & Schools/Libraries - United States	12
Literature/Russian literature - Film and video adaptations	44
History/Netherlands - History	11
Family, Gender Identity, Relationships & Sexuality/Life change events	40
Agriculture, Business, Commerce & Industry/Food	41
Animals & Wildlife/Cattle - Breeding	21
Music & Performing Arts/Paderewski, Ignace Jan, 1860-1941	3
Music & Performing Arts/Sculthorpe, Peter, 1929-	4
Agriculture, Business, Commerce & Industry/Horticulture	32
Advertising, Film, Journalism, Mass Media & TV/Langdon, Harry, 1884-1944	1
History/Nasser, Gamal Abdel, 1918-1970	4
Advertising, Film, Journalism, Mass Media & TV/Weis, Don, 1922-	1
Climate, Environment, Natural Resources & Disasters/Food chains	20
History/Hawke, Bob, 1929-	6
Places/Barcelona (Spain)	12
Crafts & Visual Arts/Artists - Biography	121
Economics, Philosophy, Politics, Religion & Sociology/Soviet Union - Social conditions	22
People/Mizer, Bob	1
Crafts & Visual Arts/Glazing (Ceramics)	13
Economics, Philosophy, Politics, Religion & Sociology/Adolescence	331
Communications, Infrastructure, & Transport/Quarantine - Australia	6
Agriculture, Business, Commerce & Industry/Product management	20
Anthropology, Ethnology, Exploration & Travel/Sweden - Social life and customs	28
Family, Gender Identity, Relationships & Sexuality/Unmarried mothers	6
Anthropology, Ethnology, Exploration & Travel/Ivory Coast	3
Mathematics, Science & Technology/Food - Caloric content	4
Music & Performing Arts/The Who (Musical group)	5
Anthropology, Ethnology, Exploration & Travel/Population research	11
Family, Gender Identity, Relationships & Sexuality/Children - Hong Kong	3
Food, Health, Lifestyle, Medicine, Psychology & Safety/Thorndike, E. L. (Edward Lee), 1874-1949	1
Anthropology, Ethnology, Exploration & Travel/Festivals - Canada	11
Economics, Philosophy, Politics, Religion & Sociology/Human settlements	26
Hobbies, Recreation & Sport/Ski jumping	19
Anthropology, Ethnology, Exploration & Travel/Folklore - Canada	7
Food, Health, Lifestyle, Medicine, Psychology & Safety/Panic disorders	3
Food, Health, Lifestyle, Medicine, Psychology & Safety/Drinking and traffic accidents	17
Communications, Infrastructure, & Transport/Seaplanes	1
People/Rossellini, Roberto, 1906-1977	1
Crafts & Visual Arts/Painters - Spain	10
Hobbies, Recreation & Sport/Football - Rules	7
Literature/English language	16
Food, Health, Lifestyle, Medicine, Psychology & Safety/Divorce counseling	6
Music & Performing Arts/Music - Instruction and study	196
Animals & Wildlife/Wildlife rescue	10
People/Petrov, Vladimir Mikhailovich, 1907-	1
Music & Performing Arts/Bluegrass music	5
History/Hook, Hilary	1
Music & Performing Arts/Taymor, Julie, 1952-	2
People/Cleisthenes, of Athens, ca. 570-ca. 508 B.C.	1
Literature/Sophocles	4
Family, Gender Identity, Relationships & Sexuality/Hearing impaired children - Education	4
Anthropology, Ethnology, Exploration & Travel/Marlo (Vic.)	1
Anthropology, Ethnology, Exploration & Travel/Monasteries - England	5
History/Soviet Union - History - 1904-1917	1
Agriculture, Business, Commerce & Industry/Electric industries	10
Crafts & Visual Arts/Angelicas, Emmanuel	1
Literature/Dickens, Charles, 1817-1870	9
Economics, Philosophy, Politics, Religion & Sociology/City planning - Australia	19
Anthropology, Ethnology, Exploration & Travel/Malaya	23
Music & Performing Arts/Clarinet	5
Music & Performing Arts/Acting - Auditions	8
Economics, Philosophy, Politics, Religion & Sociology/Europe - Economic conditions	8
History/United States - History - 1945-	23
Places/New South Wales	18
Anthropology, Ethnology, Exploration & Travel/Uruguay	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Instinct	6
Climate, Environment, Natural Resources & Disasters/Great Lakes - Environmental aspects	3
Education, Instruction, Teaching & Schools/Skis and skiing - Training	13
Places/Byron Bay, N.S.W.	1
Advertising, Film, Journalism, Mass Media & TV/Community newspapers	5
Economics, Philosophy, Politics, Religion & Sociology/Personal property	7
Anthropology, Ethnology, Exploration & Travel/Aurukun (Qld.)	5
Advertising, Film, Journalism, Mass Media & TV/Women journalists	10
Agriculture, Business, Commerce & Industry/Commercial products	18
Economics, Philosophy, Politics, Religion & Sociology/Burma - Politics and government, 1988	3
Crafts & Visual Arts/Art deco	3
Anthropology, Ethnology, Exploration & Travel/Glen Davis (N.S.W.)	1
People/Bernini, Giovanni Lorenzo, 1598-1680	3
People/Moore, Henry, 1898-1986	13
Economics, Philosophy, Politics, Religion & Sociology/Young adults - Australia	17
Anthropology, Ethnology, Exploration & Travel/Hume Highway (Vic.)	1
Climate, Environment, Natural Resources & Disasters/Economic development - Environmental aspects	36
Anthropology, Ethnology, Exploration & Travel/Arctic Ocean	7
Crafts & Visual Arts/Painting, Modern - 17th-18th centuries	6
Agriculture, Business, Commerce & Industry/Papua New Guinea - Commerce	8
Animals & Wildlife/Moths	12
Food, Health, Lifestyle, Medicine, Psychology & Safety/Skinner, B. F. (Burrhus Frederic), 1904-	7
Climate, Environment, Natural Resources & Disasters/Agriculture and energy	4
History/Pakistan - History - Autonomy and independence movements	7
Hobbies, Recreation & Sport/Physical education facilities	7
Literature/Children's poetry - Film and video adaptations	18
Agriculture, Business, Commerce & Industry/Agricultural productivity	63
Climate, Environment, Natural Resources & Disasters/Plants - Reproduction	42
People/Dupain, Max, 1911-1992	3
Crafts & Visual Arts/Expressionism (Art)	19
Economics, Philosophy, Politics, Religion & Sociology/Social influence	26
People/Maclaine, Shirley, 1934-	2
People/Alexandra, consort of Nicholas II, Emperor of Russia, 1872-1918	9
Anthropology, Ethnology, Exploration & Travel/Egyptians - Australia	1
Education, Instruction, Teaching & Schools/Printing	20
Climate, Environment, Natural Resources & Disasters/Plants - Movement	20
Hobbies, Recreation & Sport/Handicapped children - Recreation	9
Agriculture, Business, Commerce & Industry/Insect pests - Control	38
People/Models (Musical group)	1
Agriculture, Business, Commerce & Industry/Gold mines and mining - Australia	14
Anthropology, Ethnology, Exploration & Travel/Lismore (N.S.W.)	2
Economics, Philosophy, Politics, Religion & Sociology/New South Wales - Rural conditions	15
Communications, Infrastructure, & Transport/Radar	10
Agriculture, Business, Commerce & Industry/Sugar workers - Queensland	5
Places/Samoa	10
History/Europe - Civilization - 19th century	3
Climate, Environment, Natural Resources & Disasters/Water quality - Australia	6
Anthropology, Ethnology, Exploration & Travel/Greece - Social life and customs	21
Literature/Gorky, Maksim, 1868-1936	4
History/Explorers - Canada	3
Economics, Philosophy, Politics, Religion & Sociology/Politicians - Canada	5
Climate, Environment, Natural Resources & Disasters/Natural disasters	77
Armed Forces, Military, War & Weapons/Nuclear weapons	43
Armed Forces, Military, War & Weapons/World War, 1939-1945 - Underground movements	7
Agriculture, Business, Commerce & Industry/Dams - Design and Construction	40
Places/Wodonga (Vic.)	3
Communications, Infrastructure, & Transport/Telephone - History	14
History/Walhalla (Vic.) - History	1
People/Woolf, Barbara	1
Music & Performing Arts/Folk music - United States	9
Communications, Infrastructure, & Transport/Locomotives - History	39
Literature/Mythology, Greek	32
Hobbies, Recreation & Sport/Automobile rallies	8
Music & Performing Arts/Marsalis, Wynton, 1961-	1
Economics, Philosophy, Politics, Religion & Sociology/Community centers - South Australia	4
Anthropology, Ethnology, Exploration & Travel/Children - Japan	12
Places/Fiji	14
People/Brown, Bob, 1944-	2
People/De Groot, Francis, 1888-1969	1
History/Women's rights - Australia - History	8
Music & Performing Arts/Singers - Canada	8
Crafts & Visual Arts/Models, Fashion	46
Crafts & Visual Arts/Interior decoration	9
People/Dire Straits (Musical group)	1
Climate, Environment, Natural Resources & Disasters/Sprinkler irrigation	6
History/India - History - British occupation, 1765-1947	21
History/Africa - Politics and government	1
Advertising, Film, Journalism, Mass Media & TV/Celebrities in mass media	5
People/Three Stooges (Comedy team)	1
Family, Gender Identity, Relationships & Sexuality/Women - Australia	73
Climate, Environment, Natural Resources & Disasters/Windmills	7
Economics, Philosophy, Politics, Religion & Sociology/Atheism	3
Food, Health, Lifestyle, Medicine, Psychology & Safety/Alternative medicine	31
Economics, Philosophy, Politics, Religion & Sociology/Financial management	24
People/Cartier, Jacques, 1491-1557	3
People/Weis, Don, 1922-	1
Economics, Philosophy, Politics, Religion & Sociology/Communes (China)	7
Anthropology, Ethnology, Exploration & Travel/Missionaries	19
Armed Forces, Military, War & Weapons/Royal Military College (Duntroon, A.C.T.)	9
People/McCartney, Paul, 1942-	10
Armed Forces, Military, War & Weapons/Military ceremonies, honors, and salutes	12
Literature/Folk literature, Canadian	6
Economics, Philosophy, Politics, Religion & Sociology/School violence	14
People/Van Peebles, Melvin, 1932-	1
Anthropology, Ethnology, Exploration & Travel/Niger	5
Crafts & Visual Arts/Architecture - Greece	11
Crafts & Visual Arts/Brandt, Bill	1
Animals & Wildlife/Gulls	10
Mathematics, Science & Technology/Ions	12
Climate, Environment, Natural Resources & Disasters/Forests and forestry - New Zealand	9
Anthropology, Ethnology, Exploration & Travel/California	18
Armed Forces, Military, War & Weapons/Parer, Damien, 1912-1944	1
Anthropology, Ethnology, Exploration & Travel/Eden (N.S.W.)	5
Food, Health, Lifestyle, Medicine, Psychology & Safety/Discrimination against the handicapped	26
Animals & Wildlife/Elephant seals	6
Economics, Philosophy, Politics, Religion & Sociology/Africa, North - Politics and government	6
Anthropology, Ethnology, Exploration & Travel/Rites and ceremonies - Japan	31
Mathematics, Science & Technology/Fleming, Alexander, 1881-1955	1
People/Jarman, Derek, 1942-1994	1
Music & Performing Arts/Oboe	4
Communications, Infrastructure, & Transport/Transportation - Great Britain	46
Mathematics, Science & Technology/Engineering design	35
Agriculture, Business, Commerce & Industry/Employee motivation	73
Crime, Espionage, Justice, Police & Prisons/Courts - Australia	33
Literature/Poets, Irish	6
Food, Health, Lifestyle, Medicine, Psychology & Safety/Pavlov, Ivan Petrovitch, 1849-1936	5
Crafts & Visual Arts/Soft sculpture	5
People/Miro, Joan, 1893-1983	10
Agriculture, Business, Commerce & Industry/Manufacturing processes	147
Family, Gender Identity, Relationships & Sexuality/Teenage girls - Sexual behavior	26
Anthropology, Ethnology, Exploration & Travel/Mediterranean Sea	4
Economics, Philosophy, Politics, Religion & Sociology/Culture diffusion	30
Family, Gender Identity, Relationships & Sexuality/Bereavement	23
History/Concentration camps	33
Family, Gender Identity, Relationships & Sexuality/Youth	76
Crafts & Visual Arts/Art and nature	2
Agriculture, Business, Commerce & Industry/Agriculture - Papua New Guinea	9
Crafts & Visual Arts/Perspective (Art)	7
Anthropology, Ethnology, Exploration & Travel/Port Hedland (W.A.)	3
Places/Sydney (N.S.W.)	68
Anthropology, Ethnology, Exploration & Travel/Children - Canada	16
Anthropology, Ethnology, Exploration & Travel/Pilbara (W.A.)	5
Anthropology, Ethnology, Exploration & Travel/New Hebrides	4
People/Hoedeman, Co	1
Crafts & Visual Arts/Botticelli, Sandro, 1444 or 5-1510	5
Anthropology, Ethnology, Exploration & Travel/Trinidad and Tobago - Description and travel	6
People/Van Grafthorst, Eve, 1982-1993	1
People/Byrd, Richard Evelyn, 1888-1957	2
History/Dubcek, Alexander, 1921-	1
Economics, Philosophy, Politics, Religion & Sociology/Suburban life	66
People/Antonioni, Michelangelo	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Depression, Mental	52
Places/Caulfield (Vic.)	2
Food, Health, Lifestyle, Medicine, Psychology & Safety/Drugs - Psychological aspects	63
Climate, Environment, Natural Resources & Disasters/Otway Ranges (Vic)	1
Economics, Philosophy, Politics, Religion & Sociology/Lamaism	4
Agriculture, Business, Commerce & Industry/Gold	9
Hobbies, Recreation & Sport/Carnival	14
Literature/Carey, Peter	3
Aboriginal Australia/Aboriginal Australians - Employment	26
Literature/Nowra, Louis	3
Climate, Environment, Natural Resources & Disasters/Geology, Stratigraphic	3
Animals & Wildlife/Fruit-Flies	4
Anthropology, Ethnology, Exploration & Travel/Palestine	23
Economics, Philosophy, Politics, Religion & Sociology/Human rights	48
Literature/Irish literature - Film and video adaptations	18
Agriculture, Business, Commerce & Industry/Australia - Rural conditions	39
People/Interviews	179
Anthropology, Ethnology, Exploration & Travel/Peter MacCallum Cancer Institute (Melbourne, Vic.)	3
Climate, Environment, Natural Resources & Disasters/Timber - New Zealand	7
Literature/Folklore	9
Animals & Wildlife/Zoology - Polar regions	4
Places/Arctic regions	52
Food, Health, Lifestyle, Medicine, Psychology & Safety/Gifted children	18
Places/Iraq	11
Family, Gender Identity, Relationships & Sexuality/Pedophilia	14
Agriculture, Business, Commerce & Industry/Rural conditions	51
Music & Performing Arts/Circus animals	19
Advertising, Film, Journalism, Mass Media & TV/Biographical films	387
Economics, Philosophy, Politics, Religion & Sociology/Blacklisting of entertainers - United States	7
Agriculture, Business, Commerce & Industry/Livestock	27
Communications, Infrastructure, & Transport/Engineers	13
Animals & Wildlife/Cats - Behavior - Juvenile films	12
People/Rodin, Auguste, 1840-1917	4
Hobbies, Recreation & Sport/Dolls	12
Music & Performing Arts/Dancing - Great Britain	13
Economics, Philosophy, Politics, Religion & Sociology/Civil rights - Australia	12
Places/Rum Jungle (N.T.)	3
Economics, Philosophy, Politics, Religion & Sociology/Prostitutes	46
Music & Performing Arts/American Ballet Theater	8
Anthropology, Ethnology, Exploration & Travel/Singapore	19
Agriculture, Business, Commerce & Industry/Tin mines and mining	5
Communications, Infrastructure, & Transport/Paddle steamers - Murray River (N.S.W.-S. Aust.)	9
People/Cripps, Charles	1
Hobbies, Recreation & Sport/Athletes	123
Hobbies, Recreation & Sport/Amusement parks	14
Agriculture, Business, Commerce & Industry/Rural development - Australia	7
Anthropology, Ethnology, Exploration & Travel/Muslim women - Afghanistan	6
History/Indonesia - Colonization	5
Agriculture, Business, Commerce & Industry/Liquefied natural gas industry - Australia	3
Places/Borobudur (Indonesia)	4
Anthropology, Ethnology, Exploration & Travel/Edinburgh (Scotland)	14
Literature/Whitman, Walt, 1819-1892	3
Literature/Greek literature - History and Criticism	4
Agriculture, Business, Commerce & Industry/Wages	3
Economics, Philosophy, Politics, Religion & Sociology/Religion and culture	121
Economics, Philosophy, Politics, Religion & Sociology/Culture	50
Education, Instruction, Teaching & Schools/English language - Alphabet	17
Music & Performing Arts/National music	6
People/Culture Club (Musical group)	1
