length	total
00:35:40	1
00:13:27	18
00:35:47	3
00:35:44	1
00:35:45	3
04:37:00	2
00:45:00	166
00:45:02	1
00:45:05	1
00:19:30	23
00:19:33	4
00:19:32	6
00:19:35	6
00:19:37	5
00:19:36	1
00:46:00	83
00:46:02	2
00:46:03	1
00:46:07	2
00:46:08	2
03:04:00	5
00:34:40	3
01:07:31	1
01:52:07	1
01:52:00	80
00:34:44	1
00:34:48	1
01:32:31	2
01:32:30	1
00:56:33	1
01:31:10	1
01:33:53	1
00:23:58	5
00:23:56	1
00:23:57	4
00:23:54	1
00:23:55	5
00:23:52	2
00:23:53	14
00:23:50	5
03:02:00	2
01:37:28	1
01:50:05	1
01:37:23	1
01:50:00	170
00:44:45	3
04:38:00	1
04:49:00	1
10:00:00	1
01:21:25	1
03:01:00	3
00:42:48	1
03:00:00	75
00:42:40	1
00:42:42	1
00:42:45	1
00:42:47	1
01:36:30	1
00:47:09	1
00:47:08	1
00:47:07	1
00:47:05	1
00:47:00	83
00:43:09	1
01:53:00	82
00:43:03	2
00:43:00	71
00:43:07	1
01:45:42	1
00:43:05	1
00:51:08	1
00:24:49	2
00:16:44	1
01:56:00	68
00:29:41	1
03:37:12	1
01:58:13	1
00:11:41	2
00:41:06	1
00:41:00	33
01:35:57	1
00:25:50	16
00:05:41	6
00:25:52	7
00:25:53	9
00:25:54	1
00:25:55	9
00:25:56	3
00:25:57	6
00:25:58	10
01:56:07	1
00:51:02	3
00:15:53	9
00:15:52	12
01:15:50	1
00:15:50	26
00:15:57	16
01:15:57	2
00:15:55	14
00:15:54	2
00:40:19	1
00:15:59	1
00:15:58	14
00:51:05	1
00:51:48	5
00:51:49	1
00:51:45	2
00:51:46	1
00:05:46	3
00:51:40	4
00:51:43	2
01:08:00	31
00:14:38	14
00:14:39	4
00:14:36	5
00:14:37	10
00:14:34	4
00:14:35	25
00:14:32	8
00:14:33	10
00:14:30	49
00:14:31	3
00:13:42	11
00:13:43	13
00:13:40	26
00:13:41	1
00:13:46	1
00:13:47	9
00:13:44	3
00:13:45	18
00:13:48	6
00:49:58	1
01:57:30	1
00:57:42	1
00:57:43	1
00:57:40	1
00:57:41	1
00:57:47	1
00:57:44	1
00:57:45	3
00:57:48	1
00:16:09	1
00:16:08	14
01:09:00	32
01:09:03	2
00:16:01	2
00:16:00	384
00:16:03	13
00:16:02	13
00:16:05	14
00:16:04	2
00:16:07	25
00:16:06	1
01:05:00	55
02:16:46	1
06:40:00	1
00:11:46	3
04:03:00	1
01:31:00	139
00:59:48	1
01:31:09	1
01:31:08	1
00:10:03	18
00:10:02	21
00:10:01	3
00:10:00	806
00:10:07	24
00:10:06	1
00:10:05	26
00:10:04	6
00:10:09	6
00:10:08	31
01:56:10	1
09:10:00	1
05:39:00	4
00:12:05	15
00:12:04	5
00:12:07	6
00:12:06	2
00:12:01	1
00:36:37	2
00:12:03	13
00:12:02	8
00:10:51	10
06:30:00	3
00:25:32	5
00:12:08	3
00:56:40	1
00:56:42	3
00:56:45	4
00:56:44	1
00:56:47	1
00:20:12	10
00:25:33	22
01:35:00	214
01:04:00	16
00:58:43	1
00:58:42	1
00:58:40	1
00:58:47	1
01:03:38	1
01:03:37	1
01:03:31	1
01:03:30	1
11:28:00	1
00:44:02	1
01:06:01	1
01:06:00	28
09:29:12	1
00:25:31	3
01:06:08	1
00:32:37	1
00:32:34	1
00:32:35	2
00:32:32	2
00:48:18	1
00:32:30	8
01:26:30	1
01:13:00	35
00:48:11	3
00:48:10	2
00:48:13	1
00:32:39	1
00:25:36	1
00:35:50	1
03:19:38	1
00:35:52	2
00:35:55	2
00:35:54	1
00:35:57	1
00:45:35	1
00:45:37	1
00:19:08	3
00:19:09	1
00:19:04	2
00:19:05	13
00:19:07	10
00:19:00	270
00:19:01	1
00:19:02	15
00:19:03	5
00:46:17	3
00:46:15	2
01:51:00	79
00:46:10	2
03:33:00	3
00:46:19	1
00:18:09	1
00:18:08	3
01:07:43	1
01:07:41	1
00:18:03	20
00:18:02	8
00:18:01	1
00:18:00	305
00:18:07	7
01:32:43	2
00:18:05	5
00:18:04	2
01:33:45	2
01:33:47	1
00:23:49	2
00:23:48	4
00:23:45	8
00:23:44	2
00:23:47	6
00:23:46	2
00:23:41	3
00:23:40	7
00:23:43	4
00:23:42	3
01:28:15	2
03:31:00	2
00:25:35	7
00:44:55	1
00:44:54	1
00:44:52	1
01:34:48	1
00:49:23	4
00:44:59	1
00:49:38	1
03:01:18	1
00:49:30	3
00:49:32	1
00:49:36	1
